Temperature,Year,Statistics
27.04,2012,Jul Average
27.12,2012,Aug Average
25.99,2012,Sep Average
24.58,2012,Oct Average
23.55,2012,Nov Average
19.15,2012,Dec Average
19.29,2013,Jan Average
20.88,2013,Feb Average
22.91,2013,Mar Average
26.18,2013,Apr Average
27.95,2013,May Average
27.89,2013,Jun Average
27.56,2013,Jul Average
27.25,2013,Aug Average
26.87,2013,Sep Average
25.5,2013,Oct Average
24.17,2013,Nov Average
20.83,2013,Dec Average
20.06,2014,Jan Average
21.55,2014,Feb Average
23.33,2014,Mar Average
25.72,2014,Apr Average
28.37,2014,May Average
28.49,2014,Jun Average
27.54,2014,Jul Average
27.46,2014,Aug Average
26.9,2014,Sep Average
25.35,2014,Oct Average
24.91,2014,Nov Average
22.01,2014,Dec Average
20.45,2015,Jan Average
20.09,2015,Feb Average
22.89,2015,Mar Average
27.1,2015,Apr Average
28.04,2015,May Average
28,2015,Jun Average
27.9,2015,Jul Average
27.44,2015,Aug Average
26.78,2015,Sep Average
25.94,2015,Oct Average
24.18,2015,Nov Average
22.07,2015,Dec Average
21.52,2016,Jan Average
21.21,2016,Feb Average
22.46,2016,Mar Average
25.23,2016,Apr Average
26.85,2016,May Average
27.48,2016,Jun Average
27.07,2016,Jul Average
27.43,2016,Aug Average
27.31,2016,Sep Average
25.28,2016,Oct Average
23.4,2016,Nov Average
21.08,2016,Dec Average
20.49,2017,Jan Average
20.52,2017,Feb Average
22.75,2017,Mar Average
25.12,2017,Apr Average
27.18,2017,May Average
27.26,2017,Jun Average
27.32,2017,Jul Average
27,2017,Aug Average
26.68,2017,Sep Average
25.26,2017,Oct Average
24.19,2017,Nov Average
22.26,2017,Dec Average
21.01,2018,Jan Average
22.75,2018,Feb Average
23.37,2018,Mar Average
26.92,2018,Apr Average
27.83,2018,May Average
28.13,2018,Jun Average
27.87,2018,Jul Average
27.55,2018,Aug Average
26.61,2018,Sep Average
25.84,2018,Oct Average
24,2018,Nov Average
21.46,2018,Dec Average
21.87,2019,Jan Average
21.99,2019,Feb Average
23.76,2019,Mar Average
25.23,2019,Apr Average
28.28,2019,May Average
28.2,2019,Jun Average
28.05,2019,Jul Average
27.53,2019,Aug Average
27.01,2019,Sep Average
24.37,2019,Oct Average
23.78,2019,Nov Average
21.03,2019,Dec Average
